id,createdAt,updatedAt,archived,properties.address,properties.country,properties.createdate,properties.firstname,properties.hs_object_id,properties.industry,properties.lastmodifieddate,properties.lastname,properties.phone,properties.raw_email,properties.technical_test___create_date
416102,2023-05-15T02:39:02.002Z,2023-06-01T04:11:34.133Z,False,"Blackpool  Rue, 6576",Waterford,2023-05-15T02:39:02.002Z,Zoe,416102,Poultry and fish,2023-06-01T04:11:34.133Z,Owen,0-774-386-624,Zoe <zoe_owen450104633@acrit.org> Contact Info.,2021-07-13
413403,2023-05-15T02:39:02.003Z,2023-06-01T04:09:07.387Z,False,"Parkfield  Avenue, 5340",Ireland,2023-05-15T02:39:02.003Z,Zara,413403,Fruit and vegetables,2023-06-01T04:09:07.387Z,Rodwell,6-777-367-783,Zara <zara_rodwell1398442854@nickia.com> Contact Info.,2021-01-09
417951,2023-05-15T02:39:02.003Z,2023-06-01T04:14:56.011Z,False,"Abourne   Lane, 876",Ireland,2023-05-15T02:39:02.003Z,Zara,417951,Milling,2023-06-01T04:14:56.011Z,Freeburn,5-618-556-540,Zara <zara_freeburn1593147546@gmail.com> Contact Info.,2021-08-30
419852,2023-05-15T02:39:02.003Z,2023-06-01T04:09:12.998Z,False,"Chester      Crossroad, 7070",Dublin,2023-05-15T02:39:02.003Z,Winnie,419852,Dairy products,2023-06-01T04:09:12.998Z,Walter,1-161-604-327,Winnie <winnie_walter538064895@sheye.org> Contact Info.,2021-02-10
425352,2023-05-15T02:39:02.003Z,2023-06-01T04:23:09.263Z,False,"Tilloch   Crossroad, 8332",Dublin,2023-05-15T02:39:02.003Z,Zoe,425352,Meat,2023-06-01T04:23:09.263Z,Owen,5-645-416-200,Zoe <zoe_owen1652446013@bungar.biz> Contact Info.,2021-11-02
427351,2023-05-15T02:39:02.003Z,2023-06-01T04:23:09.262Z,False,"Jackson Hill, 547",London,2023-05-15T02:39:02.003Z,Zara,427351,Animal feeds,2023-06-01T04:23:09.262Z,Oldfield,7-614-866-578,Zara <zara_oldfield587137840@ubusive.com> Contact Info.,2021-11-12
428601,2023-05-15T02:39:02.003Z,2023-06-01T04:23:07.031Z,False,"Fieldstone Grove, 9968",Limerick,2023-05-15T02:39:02.003Z,Zara,428601,Meat,2023-06-01T04:23:07.031Z,Freeburn,6-224-156-216,Zara <zara_freeburn2028884073@gembat.biz> Contact Info.,2021-10-11
432351,2023-05-15T02:39:02.003Z,2023-06-01T04:15:00.935Z,False,"Becklow  Way, 8143",Dublin,2023-05-15T02:39:02.003Z,Zara,432351,Fruit and vegetables,2023-06-01T04:15:00.935Z,Rodwell,3-386-252-475,Zara <zara_rodwell1270511699@zorer.org> Contact Info.,2021-04-28
433703,2023-05-15T02:39:02.003Z,2023-06-01T04:09:58.958Z,False,"Battersea   Walk, 8093",Limerick,2023-05-15T02:39:02.003Z,Zara,433703,Meat,2023-06-01T04:09:58.958Z,Oldfield,2-716-506-551,Zara <zara_oldfield769606638@atink.com> Contact Info.,2021-01-28
413251,2023-05-15T02:39:02.004Z,2023-06-01T04:11:35.548Z,False,"Bellenden   Tunnel, 9570",Winchester,2023-05-15T02:39:02.004Z,Willow,413251,Fruit and vegetables,2023-06-01T04:11:35.548Z,Morris,4-660-745-823,Willow <willow_morris1105172480@qater.org> Contact Info.,2021-05-20
419751,2023-05-15T02:39:02.004Z,2023-06-01T04:15:17.456Z,False,"Cable    Drive, 7975",Ireland,2023-05-15T02:39:02.004Z,Willow,419751,Animal feeds,2023-06-01T04:15:17.456Z,Nash,6-164-007-600,Willow <willow_nash743964098@twace.org> Contact Info.,2021-04-01
420601,2023-05-15T02:39:02.004Z,2023-06-01T04:10:10.718Z,False,"Ellerslie Boulevard, 5976",London,2023-05-15T02:39:02.004Z,Willow,420601,Fruit and vegetables,2023-06-01T04:10:10.718Z,Nash,4-344-202-781,Willow <willow_nash1165890703@fuliss.net> Contact Info.,2021-12-31
427051,2023-05-15T02:39:02.004Z,2023-06-01T04:13:11.361Z,False,"Linden Rue, 5269",Milton Keynes,2023-05-15T02:39:02.004Z,Willow,427051,Animal feeds,2023-06-01T04:13:11.361Z,Morris,0-822-137-453,Willow <willow_morris1547026985@tonsy.org> Contact Info.,2021-09-17
434002,2023-05-15T02:39:02.004Z,2023-06-01T04:17:40.241Z,False,"Aylward   Avenue, 6033",Oxford,2023-05-15T02:39:02.004Z,Winnie,434002,Fruit and vegetables,2023-06-01T04:17:40.241Z,Bristow,1-026-166-508,Winnie <winnie_bristow1379132537@sheye.org> Contact Info.,2021-02-19
434401,2023-05-15T02:39:02.004Z,2023-06-01T04:09:38.278Z,False,"Cliffords  Route, 6823",Waterford,2023-05-15T02:39:02.004Z,Willow,434401,Milling,2023-06-01T04:09:38.278Z,Jones,8-438-055-458,Willow <willow_jones456638849@atink.com> Contact Info.,2021-03-29
437452,2023-05-15T02:39:02.004Z,2023-06-01T04:11:34.662Z,False,"Collins  Lane, 3994",Ireland,2023-05-15T02:39:02.004Z,Winnie,437452,Dairy products,2023-06-01T04:11:34.662Z,Walter,2-567-604-285,Winnie <winnie_walter1068546463@naiker.biz> Contact Info.,2021-10-10
437902,2023-05-15T02:39:02.004Z,2023-06-01T04:09:49.174Z,False,"Thomas  Hill, 2473",Milton Keynes,2023-05-15T02:39:02.004Z,Winnie,437902,Poultry and fish,2023-06-01T04:09:49.174Z,Bristow,8-602-840-700,Winnie <winnie_bristow1103281781@infotech44.tech> Contact Info.,2021-06-18
416751,2023-05-15T02:39:02.005Z,2023-06-01T04:17:27.702Z,False,"Bendmore  Drive, 3307",Oxford,2023-05-15T02:39:02.005Z,William,416751,Bakery products,2023-06-01T04:17:27.702Z,Wooldridge,6-317-525-775,William <william_wooldridge878113695@vetan.org> Contact Info.,2021-10-24
418851,2023-05-15T02:39:02.005Z,2023-06-01T04:12:56.231Z,False,"Clerkenwell Tunnel, 4196",Winchester,2023-05-15T02:39:02.005Z,William,418851,Poultry and fish,2023-06-01T04:12:56.231Z,Wilkinson,8-404-135-264,William <william_wilkinson2025879958@nanoff.biz> Contact Info.,2021-12-07
419752,2023-05-15T02:39:02.005Z,2023-06-01T04:12:00.185Z,False,"Abourne   Crossroad, 2558",Ireland,2023-05-15T02:39:02.005Z,William,419752,Fruit and vegetables,2023-06-01T04:12:00.185Z,Tate,7-866-635-824,William <william_tate750215510@famism.biz> Contact Info.,2021-10-09
424451,2023-05-15T02:39:02.005Z,2023-06-01T04:11:34.133Z,False,"Coley  Avenue, 3505",Waterford,2023-05-15T02:39:02.005Z,William,424451,Poultry and fish,2023-06-01T04:11:34.133Z,Wooldridge,4-860-622-866,William <william_wooldridge512204749@bauros.biz> Contact Info.,2021-04-20
430902,2023-05-15T02:39:02.005Z,2023-06-01T04:12:01.652Z,False,"Collins  Hill, 5732",Cork,2023-05-15T02:39:02.005Z,William,430902,Fruit and vegetables,2023-06-01T04:12:01.652Z,Wilkinson,2-274-716-136,William <william_wilkinson498036762@cispeto.com> Contact Info.,2021-11-07
432952,2023-05-15T02:39:02.005Z,2023-06-01T04:24:55.312Z,False,"Meadow Vale, 6166",Plymouth,2023-05-15T02:39:02.005Z,William,432952,Milling,2023-06-01T04:24:55.312Z,Webster,1-213-478-357,William <william_webster42710007@iatim.tech> Contact Info.,2021-03-20
434151,2023-05-15T02:39:02.005Z,2023-06-01T04:13:15.545Z,False,"Rosewood Pass, 2189",Winchester,2023-05-15T02:39:02.005Z,William,434151,Milling,2023-06-01T04:13:15.545Z,Webster,6-547-630-071,William <william_webster1737049619@fuliss.net> Contact Info.,2021-05-26
434251,2023-05-15T02:39:02.005Z,2023-06-01T04:21:08.548Z,False,"Blackpool  Crossroad, 2845",Limerick,2023-05-15T02:39:02.005Z,William,434251,Bakery products,2023-06-01T04:21:08.548Z,Wilkinson,2-021-645-301,William <william_wilkinson881615937@dionrab.com> Contact Info.,2021-03-01
434301,2023-05-15T02:39:02.005Z,2023-06-01T04:09:26.800Z,False,"Lexington Route, 8805",Dublin,2023-05-15T02:39:02.005Z,Willow,434301,Bakery products,2023-06-01T04:09:26.800Z,Jones,0-755-888-767,Willow <willow_jones1961334962@nanoff.biz> Contact Info.,2021-04-21
412907,2023-05-15T02:39:02.006Z,2023-06-01T04:23:09.262Z,False,"Belfort  Lane, 7316",Cork,2023-05-15T02:39:02.006Z,William,412907,Animal feeds,2023-06-01T04:23:09.262Z,Neville,6-504-663-843,William <william_neville1250658506@ovock.tech> Contact Info.,2021-05-22
413068,2023-05-15T02:39:02.006Z,2023-06-01T04:24:56.545Z,False,"Thoresby   Hill, 154",Ireland,2023-05-15T02:39:02.006Z,William,413068,Dairy products,2023-06-01T04:24:56.545Z,Nobbs,1-144-224-164,William <william_nobbs468549179@sheye.org> Contact Info.,2021-03-10
413952,2023-05-15T02:39:02.006Z,2023-06-01T04:15:15.488Z,False,"Cato   Avenue, 6705",England,2023-05-15T02:39:02.006Z,William,413952,Dairy products,2023-06-01T04:15:15.488Z,Tate,0-460-247-716,William <william_tate2145282000@bauros.biz> Contact Info.,2021-04-19
418451,2023-05-15T02:39:02.006Z,2023-06-01T04:13:16.580Z,False,"Chancellor  Drive, 113",Dublin,2023-05-15T02:39:02.006Z,William,418451,Fruit and vegetables,2023-06-01T04:13:16.580Z,Russell,1-350-260-784,William <william_russell1943282178@deons.tech> Contact Info.,2021-01-04
422151,2023-05-15T02:39:02.006Z,2023-06-01T04:09:56.727Z,False,"St. Jamess  Grove, 7250",Oxford,2023-05-15T02:39:02.006Z,William,422151,Fruit and vegetables,2023-06-01T04:09:56.727Z,Nobbs,7-327-256-536,William <william_nobbs1412544487@gmail.com> Contact Info.,2021-02-01
431502,2023-05-15T02:39:02.006Z,2023-06-01T04:09:56.727Z,False,"Yorkshire  Alley, 7931",England,2023-05-15T02:39:02.006Z,William,431502,Animal feeds,2023-06-01T04:09:56.727Z,Russell,4-385-477-886,William <william_russell1435833104@ubusive.com> Contact Info.,2021-06-28
